ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2-1;2017-03-28;2019-03-05;707
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2b1;2017-03-28;2019-01-12;654
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2b2;2017-03-28;2019-01-13;655
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2rc1;2017-03-28;2019-01-16;658
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2rc2;2017-03-28;2019-01-17;659
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2rc3;2017-03-28;2019-01-19;661
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.3;2017-03-28;2019-04-06;738
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.3b1;2017-03-28;2019-03-25;727
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.3b2;2017-03-28;2019-04-01;733
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.3post1;2017-03-28;2019-04-10;742
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.3post2;2017-03-28;2019-04-10;742
