package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
django-countries;2653921;https://github.com/smileychris/django-countries;961;2021-03-17;6;;8;212;100;56;41;;;1;MIT License
ptvsd;2650729;https://github.com/microsoft/ptvsd;492;2020-05-04;35;22;0;1291;100;15;25;;;0;MIT License (text)
jsonref;2648843;https://github.com/gazpachoking/jsonref;63;2018-10-07;1;;8;10;10;182;6;;;0;MIT License
hashids;2648750;https://github.com/davidaurelio/hashids-python;1185;2020-09-07;1;;4;17;17;279;8;;;0;MIT License
autograd;2645323;https://github.com/hips/autograd;5168;2021-03-03;18;1156;142;218;100;31;47;1530;99;0;MIT License
mathematics-dataset;2622819;https://github.com/deepmind/mathematics_dataset;1357;2020-07-12;0;;1;10;10;12;5;;;0;Apache-2.0 License
public;2620097;https://github.com/andrewp-as-is/public.py;10;2020-12-03;;;0;4;4;220;;;;0;Unlicense License
awsebcli;2617107;https://github.com/aws/aws-elastic-beanstalk-cli-setup;246;2020-03-16;4;240;29;40;40;29;9;;;0;MPL-2.0 License
luigi;2616915;https://github.com/spotify/luigi;14341;2021-02-23;38;52;53;840;100;114;460;1286;72;2;Apache-2.0 License
pyquery;2612912;https://github.com/gawel/pyquery;1976;2021-03-09;4;;43;118;100;135;38;9970;368;0;License not permissive (text)
mongomock;2600699;https://github.com/mongomock/mongomock;616;2021-03-12;9;86;44;288;100;30;122;;;0;License not permissive (text)
django-multiselectfield;2597180;https://github.com/goinnn/django-multiselectfield;324;2021-02-14;1;281;20;58;58;130;21;2345;14;0;LGPL-3.0 License
path-py;2595554;https://github.com/jaraco/path;947;2021-02-21;9;38;2;121;100;98;34;;;0;MIT License
glfw;2591881;https://github.com/florianrhiem/pyglfw;136;2021-02-28;1;100;1;40;40;6;8;1558;38;0;MIT License
fastapi;2584154;https://github.com/tiangolo/fastapi;28735;2021-03-01;55;8;515;1402;100;3;216;;;1;MIT License
jsonpath-ng;2579716;https://github.com/h2non/jsonpath-ng;207;2021-02-16;3;;39;8;8;306;;;;0;Apache-2.0 License
